ID;Statement;Keywords;Degree difficulty;Course;Chapter;University
132;By the position debtors- miscellaneous , in accounting it is understood;;0.06;Accounting;Accounts;University of Agronomic Sciences and Veterinary Medicine Bucharest
133;Indicate which of the following positions it represents intangible assets;;0.87;Accounting;Assets;"""1 Decembrie 1918"" University of Alba-Iulia"
134;In the category of methods and techniques of qualitative analysis?;;0.04;Management;Analysis;University of Pitesti
135;In the category of methods and techniques of qualitative analysis;;0.59;Management;Analysis;University of Agronomic Sciences and Veterinary Medicine Bucharest
136;The information necessary to carry out the economic-financial analysis can be provided by;;0.36;Management;Analysis;University of Agronomic Sciences and Veterinary Medicine Bucharest
137;Performing the economic-financial analysis must take into account;;0.05;Management;Analysis;University of Agronomic Sciences and Veterinary Medicine Bucharest
138;In the category of requirements that must be respected by the information necessary for the economic-financial analysis;;0.25;Management;Analysis;University of Agronomic Sciences and Veterinary Medicine Bucharest
139;The standard gross margin is calculated in vegetable and animal production depending on;;0.53;Economics 101;Indicators;University of Agronomic Sciences and Veterinary Medicine Bucharest
140;In the economic-financial activity of the economic agent, the quantifiable factors that influence the processes or phenomena can be;;0.98;Management;Analysis;University of Agronomic Sciences and Veterinary Medicine Bucharest
141;According to the ratio between the moment in which it is carried out and that of the unfolding of the phenomenon, the analysis can be;;0.71;Management;Analysis;University of Agronomic Sciences and Veterinary Medicine Bucharest
142;According to the way of tracking the phenomena over time, the analysis can be;;0.66;Management;Analysis;University of Agronomic Sciences and Veterinary Medicine Bucharest
143;Among the stages of the analysis are counted;;0.85;Management;Analysis;University of Agronomic Sciences and Veterinary Medicine Bucharest
144;By means of the economic-financial analysis at the economic agent level, it can be established;;0.42;Management;Analysis;University of Agronomic Sciences and Veterinary Medicine Bucharest
145;Express goods production;;0.53;Economics 101;Indicators;University of Agronomic Sciences and Veterinary Medicine Bucharest
146;Production cost for a crop or a category of animals with main production and secondary production is determined with the help of the following elements;;0.81;Economics 101;Indicators;University of Agronomic Sciences and Veterinary Medicine Bucharest
147;Direct influencing factors of profit per product are;;0.19;Economics 101;Indicators;University of Agronomic Sciences and Veterinary Medicine Bucharest
148;Direct factors influencing the turnover can be;;0.7;Economics 101;Indicators;University of Agronomic Sciences and Veterinary Medicine Bucharest
149;Component elements of the exploitation result are;;0.62;Economics 101;Indicators;University of Agronomic Sciences and Veterinary Medicine Bucharest
150;The profit related to the turnover represents;;0.19;Economics 101;Indicators;University of Agronomic Sciences and Veterinary Medicine Bucharest
151;Rate of return expresses;;0.07;Economics 101;Indicators;University of Agronomic Sciences and Veterinary Medicine Bucharest
152;The total increase in weight is programmed as the product of;;0.24;Economics 101;Indicators;University of Agronomic Sciences and Veterinary Medicine Bucharest
153;Which of the following elements is included in the production calculation corresponding to the critical threshold?;;0.08;Economics 101;Indicators;University of Agronomic Sciences and Veterinary Medicine Bucharest
154;The component elements of the rate of return on capital consumed are;;0.89;Economics 101;Indicators;University of Agronomic Sciences and Veterinary Medicine Bucharest
155;Which of the following elements are included in the added value ?;;0.68;Economics 101;Indicators;University of Agronomic Sciences and Veterinary Medicine Bucharest
156;Of raw materials in the production activity represents an expense for the company and is recorded in the accounting after the following accounting formula;;0.62;Accounting;Accounts;University of Agronomic Sciences and Veterinary Medicine Bucharest
157; The purchase of a machine from a supplier, with the invoice issued later, requires the following accounting entry;;0.3;Accounting;Accounts;University of Agronomic Sciences and Veterinary Medicine Bucharest
158;Value equation of the account balance or the balance sheet with two separate sections is;;0.36;Accounting;Accounts;University of Agronomic Sciences and Veterinary Medicine Bucharest
159;The value of the linear monthly depreciation , calculated for a machine with an input value of 12,000 lei and a useful life of 10 years, is;;0.03;Accounting;Accounts;University of Agronomic Sciences and Veterinary Medicine Bucharest
160;Depreciation value calculated for a greenhouse using the straight-line depreciation method with an input value of 8,000 lei and a useful life of 8 years is;;0.6;Accounting;Accounts;University of Agronomic Sciences and Veterinary Medicine Bucharest
161;The expenses, according to their importance in the production process or after  the connection with the technological process, are classified in;;0.87;Economics 101;Indicators;University of Agronomic Sciences and Veterinary Medicine Bucharest
162;The expenses, according to the method of distribution and inclusion in the expenses of the object of calculation , are classified as follows;;0.48;Economics 101;Indicators;University of Agronomic Sciences and Veterinary Medicine Bucharest
163;Through the lens of action QUANTITY production , expenses are classified in;;0.46;Economics 101;Indicators;University of Agronomic Sciences and Veterinary Medicine Bucharest
164;Indicate which of the following positions are part of the assets of the balance sheet;;0.52;Accounting;Assets;"""1 Decembrie 1918"" University of Alba-Iulia"
165;Indicate which of the positions listed below are part of the category of intangible assets;;0.79;Accounting;Assets;"""1 Decembrie 1918"" University of Alba-Iulia"
166;What is the correct formula for changing the balance sheet for the transaction : an agricultural company purchased chemical fertilizers in the amount of 1500 lei which were paid at the due date of the invoice.;;0.18;Accounting;Accounts;University of Agronomic Sciences and Veterinary Medicine Bucharest
167;The equality of Assets = Equity + Liabilities is specific;;0.56;Accounting;Accounts;University of Agronomic Sciences and Veterinary Medicine Bucharest
168;The equality Total assets – Liabilities = Equity is specific;;0.77;Accounting;Accounts;University of Agronomic Sciences and Veterinary Medicine Bucharest
169;Collection of a receivable is a balance sheet entry of the type;;0.73;Accounting;Accounts;University of Agronomic Sciences and Veterinary Medicine Bucharest
170;Payment of a trade debt is a balance sheet entry of the type;;0.3;Accounting;Accounts;University of Agronomic Sciences and Veterinary Medicine Bucharest
171;In the category of financial assets are found;;0.48;Accounting;Assets;"""1 Decembrie 1918"" University of Alba-Iulia"
172;They are not found in the category of a company 's own capital;;0.2;Accounting;Assets;"""1 Decembrie 1918"" University of Alba-Iulia"
173;Money can be found in the component of current assets;;0.4;Accounting;Assets;"""1 Decembrie 1918"" University of Alba-Iulia"
174;The duration of the economic use of the land is;;0.92;Accounting;Assets;"""1 Decembrie 1918"" University of Alba-Iulia"
175;The position of customers in litigation represents;;0.09;Accounting;Assets;University of Agronomic Sciences and Veterinary Medicine Bucharest
176;Trade payables refer to;;0.75;Accounting;Assets;University of Agronomic Sciences and Veterinary Medicine Bucharest
177;Current assets refer to;;0.32;Accounting;Assets;University of Agronomic Sciences and Veterinary Medicine Bucharest
178;In the category of finished products are found;;0.98;Accounting;Assets;University of Agronomic Sciences and Veterinary Medicine Bucharest
179;Current assets are grouped into;;0.61;Accounting;Assets;University of Agronomic Sciences and Veterinary Medicine Bucharest
180;Indicate the correct accounting formula for the operation : the monthly recording of the depreciation of a warehouse.;;0.7;Accounting;Formulas;University of Agronomic Sciences and Veterinary Medicine Bucharest
181;According to HG no. 276/2013 regarding the establishment of the minimum entry value of tangible assets considered as fixed assets, this value is;;0.9;Accounting;Formulas;University of Agronomic Sciences and Veterinary Medicine Bucharest
182;Indicate the correct formula for the operation : a company developed a plot of land under its own management in the amount of 500,000 lei;;0.41;Accounting;Formulas;University of Agronomic Sciences and Veterinary Medicine Bucharest
183;Indicate where the spending accounts send their balance at the end financial exercise;;0.83;Accounting;Formulas;University of Agronomic Sciences and Veterinary Medicine Bucharest
184;The duration of economic use of intangible assets is maximum;;0.38;Accounting;Assets;University of Agronomic Sciences and Veterinary Medicine Bucharest
185;Bakery company has at the beginning of July a stock of flour of 1000 kg with a value of 2 lei/kg. During the month, the company purchases another 500 kg of flour (05.07.N) at the price of 2.1 lei/kg, and on 20.07.N another 700 kg of flour at 2.2 lei/kg. On the 28th N, the quantity of 300 kg of flour is used in the production process . At what cost will the stock of flour used be evaluated considering that for the evaluation of the stocks at the exit from the heritage, the company uses the FIFO method (first in-first out )?;;0.91;Accounting;Formulas;University of Agronomic Sciences and Veterinary Medicine Bucharest
186; Choose the correct accounting formula by which the sale of tangible assets to third parties is recorded;;0.96;Accounting;Formulas;University of Agronomic Sciences and Veterinary Medicine Bucharest
187;In a company with a public catering profile , during the month of December the following takes place movements in the rice stock: on December 1st the initial stock was 100 kg of rice valued at 5 lei/kg, on December 8th 40 kg of rice was removed from the stock, on December 10th 100 kg of rice was added to the stock at 5.1 lei/kg , on December 15, 100 kg entered the stock at 5.2 lei/kg, on December 20, 60 kg were removed from the stock, and on December 24, another 30 kg of rice went out of stock. At what cost will the exits from the stock be evaluated considering that for the evaluation of the stocks at the exit from the patrimony, the company uses the CMP method (weighted average cost) calculated at the end of the month?;;0.14;Accounting;Formulas;University of Agronomic Sciences and Veterinary Medicine Bucharest
188;The registration of the finished products obtained as a result of the production process is registered as follows;;0.53;Accounting;Formulas;University of Agronomic Sciences and Veterinary Medicine Bucharest
189;In livestock farms, the weight gain recorded in animals is recorded in accounting according to the formula;;0.25;Accounting;Formulas;University of Agronomic Sciences and Veterinary Medicine Bucharest
190;A company purchased a machine with a value of 200,000 lei and an economic useful life of 11 years. The company opts for the accelerated depreciation method. What will be the value of the annual depreciation in the second year of operation , considering that in the first year 50% of the input value is amortized ?;;0.15;Accounting;Formulas;University of Agronomic Sciences and Veterinary Medicine Bucharest
191;The following balance sheet items exist within a company ;;0.46;Accounting;Formulas;University of Agronomic Sciences and Veterinary Medicine Bucharest
192;Specify which element does not represent a physical immobilization;;0.82;Accounting;Assets;University of Agronomic Sciences and Veterinary Medicine Bucharest
193;They are not included in the category of current assets;;0.95;Accounting;Assets;University of Agronomic Sciences and Veterinary Medicine Bucharest
194;They are included in the balance sheet liabilities;;0.4;Accounting;Assets;University of Agronomic Sciences and Veterinary Medicine Bucharest
195;What are the characteristics of fixed assets?;;0.25;Accounting;Assets;University of Pitesti
196;Account 345 Finished products keeps track of the existence and movement of stocks of products obtained within the entities . REFERENCES the situations in which this account is debited;;0.79;Accounting;Accounts;University of Agronomic Sciences and Veterinary Medicine Bucharest
197;Which of the following values can be assimilated to tangible assets when they enter the patrimonial assets of the companies ?;;0.74;Accounting;Assets;University of Pitesti
198;Recorded in the debit of tangible assets accounts  targeted transactions _  their entries into the patrimony of the companies . Identify them!;;0.03;Accounting;Formulas;University of Agronomic Sciences and Veterinary Medicine Bucharest
199;Indicate which of the following statements define current assets;;0.59;Accounting;Assets;University of Pitesti
200;What are the situations in which the accounts of stocks of raw materials and materials register  exits , respectively are they credited ?;;0.05;Accounting;Assets;University of Pitesti
201;In the balance sheet , the patrimony of the entities is presented on the date on which this financial situation was realized. This heritage includes;;0.34;Accounting;Assets;University of Pitesti
202;Choose the elements that change and the meaning of the change for the transaction;;0.05;Accounting;Formulas;University of Agronomic Sciences and Veterinary Medicine Bucharest
203;Specify which of the following transactions result in an increase in expenses;;0.78;Accounting;Formulas;University of Agronomic Sciences and Veterinary Medicine Bucharest
204;CIF prices include;;0.26;Economics 101;Indicators;University of Agronomic Sciences and Veterinary Medicine Bucharest
205;In the case of free- destination prices;;0.06;Economics 101;Indicators;University of Agronomic Sciences and Veterinary Medicine Bucharest
206;Price category that appeared in history?;;0.69;Economics 101;Indicators;University of Agronomic Sciences and Veterinary Medicine Bucharest
207;What will be the prices of suppliers who do not have the power to negotiate with customers ?;;0.28;Economics 101;Indicators;University of Agronomic Sciences and Veterinary Medicine Bucharest
208;Which of the statements are the following correct?;;0.43;Economics 101;Indicators;University of Agronomic Sciences and Veterinary Medicine Bucharest
209;How will the prices of the products of a sector of activity not protected by important entry barriers be?;;0.79;Economics 101;Indicators;"""1 Decembrie 1918"" University of Alba-Iulia"
210;The bargaining power of customers is high when;;0.49;Economics 101;Negotiation;University of Agronomic Sciences and Veterinary Medicine Bucharest
211;A supplier group is strong when;;0.18;Economics 101;Negotiation;University of Agronomic Sciences and Veterinary Medicine Bucharest
212;Transfer costs include:;;0.96;Economics 101;Indicators;"""1 Decembrie 1918"" University of Alba-Iulia"
213;Differentiated products means that;;0.57;Economics 101;Indicators;"""1 Decembrie 1918"" University of Alba-Iulia"
214;Real price is calculated by reporting the nominal price from a given moment to;;0.23;Economics 101;Indicators;"""1 Decembrie 1918"" University of Alba-Iulia"
215;Price flat represent;;0.56;Economics 101;Indicators;"""1 Decembrie 1918"" University of Alba-Iulia"
216;The marginal cost curve has the following short term development;;0.1;Economics 101;Indicators;"""1 Decembrie 1918"" University of Alba-Iulia"
217;Which of the following statements are correct?;;0.21;Economics 101;Indicators;"""1 Decembrie 1918"" University of Alba-Iulia"
218;How will the prices of the products of a sector of activity relatively concentrated in the relationship with customers be ?;;0.74;Economics 101;Indicators;"""1 Decembrie 1918"" University of Alba-Iulia"
219;The entry of a new entrant into an activity sector that produces differentiated products involves risks;;0.73;Economics 101;Indicators;"""1 Decembrie 1918"" University of Alba-Iulia"
220;How will the prices of the products of a sector of activity whose products are competed by substitute products with comparatively low prices be ?;;0.66;Economics 101;Indicators;"""1 Decembrie 1918"" University of Alba-Iulia"
221;The total cost for obtaining a product unit is 370 lei. By producing an additional unit of the same product, the total cost for the two units produced will increase by 150 lei. Given that the total fixed cost is 200 lei, and the Marginal Cost for the production of one product unit was 170 lei,;;0.44;Economics 101;Indicators;"""1 Decembrie 1918"" University of Alba-Iulia"
